CustomerID,total_transactions,total_products,total_unique_products,total_sales,avg_product_value,avg_cart_value,min_cart_value,max_cart_value
12386,2,10,10,401.90000000000003,40.190000000000005,200.95000000000002,143.0,258.90000000000003
12388,6,100,57,2780.6600000000003,27.806600000000003,463.4433333333334,124.05000000000001,902.0900000000001
12390,1,32,32,549.8399999999999,17.182499999999997,549.8399999999999,549.8399999999999,549.8399999999999
12391,1,100,92,460.88999999999993,4.608899999999999,460.88999999999993,460.88999999999993,460.88999999999993
12393,4,64,47,1582.6000000000004,24.728125000000006,395.65000000000003,177.00000000000003,521.5
12394,2,27,26,1272.48,47.12888888888889,636.24,381.08,891.4000000000001
12395,12,156,91,3018.6299999999987,19.3501923076923,251.55249999999998,149.97000000000003,346.67999999999995
12397,2,126,110,2409.9000000000005,19.12619047619048,1204.9499999999998,1195.09,1214.81
12398,1,85,85,1635.6599999999999,19.24305882352941,1635.6599999999999,1635.6599999999999,1635.6599999999999
12399,4,59,47,1108.65,18.790677966101697,277.1625,130.07999999999998,480.9
12401,1,5,5,84.3,16.86,84.3,84.3,84.3
12402,1,11,11,225.6,20.509090909090908,225.6,225.6,225.6
12403,1,5,5,427.7,85.53999999999999,427.7,427.7,427.7
12405,1,54,54,1710.3900000000006,31.6738888888889,1710.3900000000006,1710.3900000000006,1710.3900000000006
12406,2,105,92,3415.300000000001,32.52666666666668,1707.65,1621.25,1794.0500000000004
12407,5,77,57,1708.1199999999997,22.18337662337662,341.62399999999997,192.34,719.0600000000001
12408,5,105,81,2888.5500000000006,27.510000000000005,577.71,74.7,762.8900000000001
12409,3,109,91,11072.670000000002,101.584128440367,3690.89,4.95,6207.079999999999
12410,2,26,26,693.3299999999999,26.666538461538458,346.66499999999996,68.0,625.3299999999999
12412,3,61,43,1226.8799999999999,20.1127868852459,408.96000000000004,336.14,514.5
12413,3,38,29,758.0999999999999,19.95,252.70000000000005,84.65,479.25000000000006
12414,3,18,16,562.41,31.244999999999997,187.47000000000003,153.76,242.8
12417,9,192,158,3649.1,19.005729166666665,405.4555555555555,291.34,562.69
12418,1,34,34,668.5799999999997,19.664117647058816,668.5799999999997,668.5799999999997,668.5799999999997
12420,1,29,29,600.3900000000001,20.703103448275865,600.3900000000001,600.3900000000001,600.3900000000001
12421,4,45,32,807.0400000000002,17.934222222222225,201.76000000000002,157.45000000000002,239.35000000000005
12422,3,39,39,803.5599999999998,20.60410256410256,267.8533333333333,147.7,417.36
12423,8,125,97,1859.3100000000002,14.874480000000002,232.41375000000005,84.92,347.35
12424,2,30,30,1760.9599999999998,58.69866666666666,880.4800000000001,294.64000000000004,1466.3200000000002
12425,1,36,36,777.1999999999999,21.58888888888889,777.1999999999999,777.1999999999999,777.1999999999999
12426,1,30,30,582.7299999999999,19.42433333333333,582.7299999999999,582.7299999999999,582.7299999999999
12427,3,31,26,825.8000000000002,26.63870967741936,275.2666666666667,239.71999999999997,303.50000000000006
12428,9,294,258,7956.460000000004,27.06278911564627,884.0511111111111,373.72,2474.62
12429,4,97,82,3750.400000000001,38.66391752577321,937.6,437.97999999999996,1281.5000000000002
12430,1,11,11,256.4,23.30909090909091,256.4,256.4,256.4
12431,15,235,163,6487.449999999999,27.606170212765953,432.4966666666667,89.79999999999998,640.1
12432,5,108,107,5059.3200000000015,46.84555555555557,1011.8640000000001,64.6,2862.0600000000004
12433,7,420,219,13375.869999999992,31.847309523809503,1910.8385714285719,19.799999999999997,2843.2900000000013
12434,2,50,46,806.14,16.122799999999998,403.06999999999994,286.25,519.8899999999999
12435,2,36,31,7829.889999999998,217.49694444444438,3914.9449999999997,3850.9,3978.9899999999993
12436,1,16,16,509.01000000000005,31.813125000000003,509.01000000000005,509.01000000000005,509.01000000000005
12437,18,199,118,4951.409999999997,24.881457286432145,275.0783333333333,65.1,736.5499999999998
12438,2,98,84,2906.8500000000004,29.661734693877555,1453.425,890.0699999999998,2016.78
12441,1,11,11,173.55,15.77727272727273,173.55,173.55,173.55
12442,1,12,12,172.06,14.338333333333333,172.06,172.06,172.06
12444,5,176,138,5005.46,28.440113636363638,1001.092,562.54,1870.1999999999998
12445,1,4,4,133.4,33.35,133.4,133.4,133.4
12446,1,57,57,1002.3099999999998,17.58438596491228,1002.3099999999998,1002.3099999999998,1002.3099999999998
12447,1,26,26,476.49,18.326538461538462,476.49,476.49,476.49
12448,1,22,22,449.4500000000001,20.42954545454546,449.4500000000001,449.4500000000001,449.4500000000001
12449,4,191,118,4067.2900000000013,21.294712041884825,1016.8225,777.95,1342.71
12450,2,8,7,197.88,24.735,98.94,96.0,101.88
12451,5,354,265,9035.519999999999,25.524067796610165,1807.1039999999998,262.5,2919.5099999999998
12452,2,22,21,430.57000000000005,19.57136363636364,215.28500000000003,80.0,350.57000000000005
12453,1,43,43,707.0899999999999,16.44395348837209,707.0899999999999,707.0899999999999,707.0899999999999
12454,1,15,15,3528.34,235.22266666666667,3528.34,3528.34,3528.34
12455,6,90,85,2466.859999999997,27.40955555555552,411.14333333333326,15.0,1683.8999999999996
12456,3,125,105,3181.039999999998,25.448319999999985,1060.3466666666666,915.6400000000002,1325.2299999999998
12457,7,62,53,2363.2299999999996,38.1166129032258,337.6042857142857,160.0,743.28
12458,2,38,35,947.4000000000001,24.931578947368422,473.70000000000005,441.91999999999996,505.4800000000001
12461,2,35,35,826.8800000000001,23.625142857142862,413.44000000000005,200.0,626.8800000000001
12462,2,62,51,1189.5900000000001,19.186935483870972,594.795,427.48,762.1099999999999
12463,4,83,65,1344.7799999999997,16.202168674698793,336.19500000000005,297.38,358.99
12464,8,29,6,1212.0499999999997,41.794827586206885,151.50625000000002,34.0,281.9
12465,2,47,46,742.1900000000002,15.791276595744684,371.095,301.25,440.94
12468,2,38,36,729.54,19.198421052631577,364.77,220.58999999999995,508.95
12471,30,460,150,19824.049999999945,43.0957608695651,660.8016666666666,29.700000000000003,2238.5099999999993
12472,7,339,219,6572.110000000003,19.386755162241897,938.8728571428572,268.08000000000004,1631.3000000000009
12473,5,168,140,3938.55,23.44375,787.71,40.46,1697.98
12474,18,424,253,7375.789999999998,17.39573113207547,409.76611111111106,7.800000000000001,806.4700000000003
12475,1,36,36,723.38,20.093888888888888,723.38,723.38,723.38
12476,11,233,177,6816.420000000005,29.25502145922749,619.6745454545453,12.45,1750.46
12477,6,300,191,13219.73999999999,44.06579999999997,2203.2899999999995,1059.24,4257.0599999999995
12478,1,36,36,680.9900000000002,18.916388888888896,680.9900000000002,680.9900000000002,680.9900000000002
12479,1,31,31,527.2,17.006451612903227,527.2,527.2,527.2
12480,4,154,129,3281.6300000000015,21.309285714285725,820.4075000000001,557.6800000000001,1136.6799999999998
12481,10,217,150,5596.320000000002,25.789493087557616,559.632,134.82,1307.7599999999995
12483,8,75,46,2484.980000000001,33.13306666666668,310.62250000000006,8.5,547.56
12484,6,346,256,4541.720000000001,13.126358381502893,756.9533333333334,140.0,1246.4899999999996
12488,3,55,46,1298.6599999999999,23.612,432.8866666666667,214.06,553.39
12489,1,15,15,334.92999999999995,22.328666666666663,334.92999999999995,334.92999999999995,334.92999999999995
12490,10,245,131,5417.9299999999985,22.113999999999994,541.7930000000001,331.50000000000006,1035.8200000000002
12491,1,26,25,460.4000000000001,17.707692307692312,460.4000000000001,460.4000000000001,460.4000000000001
12492,2,20,19,263.21,13.160499999999999,131.605,126.39,136.82
12493,2,22,20,433.74,19.715454545454545,216.87,201.24,232.5
12494,7,77,63,1246.1000000000006,16.18311688311689,178.01428571428573,4.949999999999999,403.09000000000003
12497,1,14,14,1043.1,74.50714285714285,1043.1,1043.1,1043.1
12498,3,23,21,403.7,17.55217391304348,134.56666666666666,30.450000000000003,247.25
12500,11,61,34,4257.820000000001,69.80032786885246,387.07454545454544,3.0,1096.65
12501,1,149,149,2169.3899999999994,14.559664429530198,2169.3899999999994,2169.3899999999994,2169.3899999999994
12502,5,147,102,3723.87,25.332448979591835,744.7740000000001,522.6,1092.35
12504,2,9,6,482.04999999999995,53.5611111111111,241.02499999999998,32.65,449.4
12506,1,23,23,73.50000000000003,3.195652173913045,73.50000000000003,73.50000000000003,73.50000000000003
12507,3,21,19,1304.81,62.13380952380952,434.93666666666667,46.75,811.9
12508,2,69,57,398.27000000000004,5.772028985507247,199.135,123.08000000000001,275.19
12509,1,7,7,176.5,25.214285714285715,176.5,176.5,176.5
12510,2,33,29,982.57,29.774848484848487,491.285,301.52,681.0500000000001
12512,2,34,31,138.03000000000006,4.059705882352943,69.01500000000003,15.7,122.33000000000006
12513,1,35,35,612.2900000000001,17.494000000000003,612.2900000000001,612.2900000000001,612.2900000000001
12514,1,51,51,1017.6800000000002,19.95450980392157,1017.6800000000002,1017.6800000000002,1017.6800000000002
12515,1,16,16,383.7,23.98125,383.7,383.7,383.7
12516,2,26,20,1312.06,50.46384615384615,656.03,583.2,728.86
12517,5,284,232,2502.8399999999983,8.812816901408445,500.56800000000004,54.0,771.7500000000001
12518,5,124,84,2056.8899999999994,16.587822580645156,411.378,324.83,524.9000000000001
12519,1,18,17,340.84,18.935555555555553,340.84,340.84,340.84
12520,5,152,121,2634.26,17.330657894736845,526.8520000000002,246.54000000000002,987.4200000000006
12521,1,38,38,599.6800000000001,15.78105263157895,599.6800000000001,599.6800000000001,599.6800000000001
12522,2,12,11,192.72000000000003,16.060000000000002,96.36,89.4,103.32
12523,11,106,84,1789.7700000000007,16.88462264150944,162.70636363636365,102.95,262.42
12524,8,144,113,4485.719999999999,31.150833333333328,560.715,289.1,1094.33
12526,3,71,64,1316.6600000000005,18.544507042253528,438.8866666666666,277.08000000000004,520.3
12527,3,18,18,348.71000000000004,19.37277777777778,116.23666666666668,63.790000000000006,152.4
12528,6,92,50,1933.4800000000007,21.016086956521747,322.2466666666666,234.00000000000003,493.53
12530,4,66,51,1662.2799999999993,25.186060606060597,415.57000000000005,387.4,440.63
12531,1,17,17,125.22,7.365882352941177,125.22,125.22,125.22
12532,1,16,16,349.83,21.864375,349.83,349.83,349.83
12534,1,63,63,1089.18,17.28857142857143,1089.18,1089.18,1089.18
12535,2,34,28,716.3500000000001,21.069117647058828,358.17500000000007,344.90000000000003,371.4500000000001
12536,3,261,260,12601.830000000005,48.28287356321841,4200.6100000000015,4161.06,4279.710000000004
12538,1,21,21,363.95,17.33095238095238,363.95,363.95,363.95
12539,4,273,157,5568.349999999995,20.396886446886427,1392.0874999999999,1050.66,1715.8500000000004
12540,17,478,277,13400.23999999999,28.03397489539747,788.2494117647057,277.48,1380.1099999999997
12541,3,52,46,981.1800000000002,18.868846153846157,327.05999999999995,223.74,445.03999999999985
12544,1,19,19,372.7,19.61578947368421,372.7,372.7,372.7
12545,2,50,42,1000.3899999999999,20.007799999999996,500.195,372.24,628.15
12546,2,69,59,1161.5,16.833333333333332,580.75,401.3,760.2
12547,2,8,7,207.8,25.975,103.9,48.4,159.4
12548,1,5,5,95.19999999999999,19.04,95.19999999999999,95.19999999999999,95.19999999999999
12550,1,57,57,964.8299999999994,16.926842105263148,964.8299999999994,964.8299999999994,964.8299999999994
12551,1,10,10,168.0,16.8,168.0,168.0,168.0
12552,2,20,20,437.81999999999994,21.891,218.90999999999997,120.0,317.81999999999994
12553,10,191,95,3692.280000000001,19.331308900523567,369.228,6.3,700.3100000000001
12556,2,121,100,603.7099999999997,4.989338842975204,301.8549999999999,290.8099999999999,312.89999999999986
12557,5,33,15,11990.96,363.3624242424242,2398.192,620.0,4146.34
12558,1,11,11,269.96000000000004,24.541818181818186,269.96000000000004,269.96000000000004,269.96000000000004
12559,2,21,21,561.7099999999999,26.748095238095235,280.85499999999996,75.60000000000001,486.10999999999996
12560,3,105,91,2134.01,20.323904761904764,711.3366666666667,144.0,1292.31
12561,1,16,16,238.85,14.928125,238.85,238.85,238.85
12562,7,168,99,3781.7400000000025,22.510357142857156,540.2485714285714,388.64,654.3699999999999
12564,1,21,21,456.9000000000001,21.75714285714286,456.9000000000001,456.9000000000001,456.9000000000001
12565,1,9,9,145.92,16.21333333333333,145.92,145.92,145.92
12566,1,19,19,351.65000000000003,18.507894736842108,351.65000000000003,351.65000000000003,351.65000000000003
12567,10,446,323,9401.279999999993,21.079103139013437,940.1279999999999,286.34,1650.0999999999992
12569,32,188,92,4124.69,21.939840425531912,128.89656250000002,52.0,348.68
12571,2,34,31,519.6099999999999,15.282647058823526,259.805,248.35,271.26
12572,2,60,53,1020.4200000000003,17.007000000000005,510.21000000000015,487.68000000000006,532.7400000000002
12573,1,28,26,160.54,5.7335714285714285,160.54,160.54,160.54
12574,1,11,11,218.45000000000002,19.85909090909091,218.45000000000002,218.45000000000002,218.45000000000002
12576,5,88,72,1315.8299999999997,14.952613636363633,263.166,154.8,379.2799999999999
12577,3,147,137,657.8000000000003,4.474829931972791,219.26666666666665,134.02,327.89000000000004
12578,2,114,111,2794.5099999999993,24.513245614035082,1397.2549999999997,1185.85,1608.6599999999994
12579,1,29,29,440.41999999999996,15.186896551724136,440.41999999999996,440.41999999999996,440.41999999999996
12580,1,24,24,415.7,17.320833333333333,415.7,415.7,415.7
12581,1,15,15,197.70999999999998,13.180666666666665,197.70999999999998,197.70999999999998,197.70999999999998
12582,2,22,21,511.3599999999999,23.24363636363636,255.67999999999995,205.15999999999997,306.19999999999993
12583,15,247,115,7281.379999999993,29.4792712550607,485.42533333333336,243.1,855.86
12584,9,96,44,2338.1499999999996,24.355729166666663,259.7944444444444,12.75,463.6300000000001
12585,2,87,77,2040.099999999999,23.44942528735631,1020.05,777.25,1262.85
12586,1,11,11,196.94,17.903636363636362,196.94,196.94,196.94
12587,1,4,4,144.0,36.0,144.0,144.0,144.0
12588,1,10,10,214.9,21.490000000000002,214.9,214.9,214.9
12589,2,35,29,646.6800000000001,18.47657142857143,323.34,131.5,515.18
12590,2,68,68,9864.260000000004,145.0626470588236,4932.130000000002,523.0,9341.260000000004
12591,1,26,26,452.84999999999985,17.417307692307688,452.84999999999985,452.84999999999985,452.84999999999985
12592,2,18,11,437.59999999999997,24.31111111111111,218.8,205.8,231.8
12593,3,21,14,418.09999999999997,19.909523809523808,139.36666666666667,85.8,236.00000000000003
12594,10,118,50,3338.2199999999984,28.28999999999999,333.822,28.0,722.4000000000001
12596,2,27,25,618.27,22.898888888888887,309.135,269.95,348.32
12597,4,206,184,3811.2200000000016,18.501067961165056,952.8050000000004,205.95999999999998,2176.4500000000016
12598,8,132,84,3023.079999999999,22.902121212121205,377.88500000000005,36.0,720.8600000000001
12599,7,62,32,1032.5800000000006,16.654516129032267,147.51142857142855,78.60000000000001,201.86
12600,10,64,32,2599.0400000000004,40.61000000000001,259.904,76.5,427.94000000000005
12601,5,28,21,577.0600000000001,20.609285714285715,115.412,68.1,144.26
12602,1,12,12,153.12000000000003,12.760000000000003,153.12000000000003,153.12000000000003,153.12000000000003
12603,1,2,2,739.1999999999999,369.59999999999997,739.1999999999999,739.1999999999999,739.1999999999999
12604,2,16,15,254.17999999999995,15.886249999999997,127.09,75.67999999999999,178.5
12607,1,101,101,1579.51,15.63871287128713,1579.51,1579.51,1579.51
12609,3,60,57,1126.8500000000001,18.780833333333337,375.6166666666666,287.93,512.8
12610,5,106,85,2099.540000000001,19.80698113207548,419.908,160.0,946.75
12611,1,65,65,1193.32,18.35876923076923,1193.32,1193.32,1193.32
12612,1,19,19,704.0400000000001,37.054736842105264,704.0400000000001,704.0400000000001,704.0400000000001
12613,5,153,124,3344.3799999999983,21.858692810457505,668.876,18.0,1881.86
12614,1,20,20,315.59999999999997,15.779999999999998,315.59999999999997,315.59999999999997,315.59999999999997
12615,4,105,82,2291.1900000000005,21.820857142857147,572.7975,422.8499999999999,656.9499999999998
12616,2,32,25,713.3,22.290625,356.65,255.60000000000002,457.7
12617,1,42,39,355.5300000000002,8.465000000000005,355.5300000000002,355.5300000000002,355.5300000000002
12618,1,11,11,177.31,16.11909090909091,177.31,177.31,177.31
12619,9,90,50,3641.2400000000002,40.458222222222226,404.58222222222213,199.8,687.9999999999999
12620,3,92,89,1339.4099999999999,14.558804347826085,446.46999999999997,377.66,561.66
12621,20,467,261,13689.67,29.31406852248394,684.4834999999999,49.800000000000004,1209.8
12622,1,11,11,180.09999999999997,16.37272727272727,180.09999999999997,180.09999999999997,180.09999999999997
12623,1,18,18,305.1,16.950000000000003,305.1,305.1,305.1
12624,2,38,36,641.1300000000001,16.87184210526316,320.565,299.94,341.19
12625,2,86,73,2683.8199999999997,31.207209302325577,1341.9099999999999,967.1999999999999,1716.62
12626,9,294,232,6620.479999999998,22.518639455782306,735.6088888888888,178.1,1377.5499999999993
12627,7,230,162,4478.53,19.47186956521739,639.79,72.0,1183.7199999999998
12628,3,41,34,786.4599999999998,19.18195121951219,262.15333333333336,215.25,333.64
12630,2,64,60,1270.8799999999999,19.857499999999998,635.44,569.0900000000001,701.7900000000001
12631,1,31,31,640.5000000000002,20.66129032258065,640.5000000000002,640.5000000000002,640.5000000000002
12633,4,101,73,2163.9799999999996,21.425544554455442,540.995,215.23,1012.82
12635,2,101,96,1689.18,16.724554455445546,844.5899999999997,683.6399999999998,1005.5399999999996
12637,8,390,205,6021.900000000001,15.440769230769233,752.7374999999997,4.63,1516.68
12638,1,39,39,671.69,17.222820512820515,671.69,671.69,671.69
12639,1,22,22,486.1,22.095454545454547,486.1,486.1,486.1
12640,3,53,47,1174.58,22.16188679245283,391.52666666666664,77.76,764.5899999999999
12641,1,10,10,185.9,18.59,185.9,185.9,185.9
12642,3,47,39,1013.26,21.558723404255318,337.75333333333333,291.96000000000004,366.45000000000005
12643,6,24,11,3344.6400000000003,139.36,557.44,202.48,1202.22
12644,1,31,31,477.9100000000001,15.416451612903229,477.9100000000001,477.9100000000001,477.9100000000001
12645,4,73,58,1775.1800000000005,24.31753424657535,443.79499999999996,369.30000000000007,511.95999999999987
12646,2,45,43,1346.9700000000003,29.932666666666673,673.4849999999999,615.2799999999999,731.6899999999999
12647,12,121,78,3722.820000000001,30.767107438016538,310.235,85.5,596.8
12648,1,21,21,318.05,15.145238095238096,318.05,318.05,318.05
12649,3,31,28,623.5099999999999,20.11322580645161,207.83666666666667,15.299999999999999,375.0
12650,1,20,20,314.44,15.722,314.44,314.44,314.44
12651,1,9,9,114.00000000000003,12.66666666666667,114.00000000000003,114.00000000000003,114.00000000000003
12652,1,48,48,919.9799999999998,19.166249999999994,919.9799999999998,919.9799999999998,919.9799999999998
12653,2,43,37,2209.8500000000004,51.39186046511629,1104.925,779.1,1430.75
12654,5,38,31,601.98,15.841578947368422,120.396,48.099999999999994,171.23
12656,5,126,89,4051.170000000002,32.15214285714287,810.234,541.1999999999999,1161.0700000000002
12657,4,47,35,1643.18,34.961276595744685,410.79499999999996,42.5,618.4399999999999
12658,1,36,36,686.0500000000001,19.056944444444447,686.0500000000001,686.0500000000001,686.0500000000001
12659,1,5,5,91.68,18.336000000000002,91.68,91.68,91.68
12660,1,13,13,245.10000000000002,18.853846153846156,245.10000000000002,245.10000000000002,245.10000000000002
12662,11,230,129,3849.7799999999984,16.73817391304347,349.9800000000001,120.9,521.6200000000001
12664,9,37,10,4881.879999999999,131.9427027027027,542.4311111111111,310.0,890.0
12665,1,3,3,63.0,21.0,63.0,63.0,63.0
12667,1,33,33,620.13,18.791818181818183,620.13,620.13,620.13
12668,4,161,115,3807.150000000002,23.6468944099379,951.7875,469.87,1444.8
12669,3,101,98,2744.0300000000007,27.168613861386145,914.6766666666667,471.43,1136.3000000000002
12670,5,92,58,2996.0500000000006,32.565760869565224,599.2099999999999,393.34,696.1199999999999
12672,1,10,10,225.9,22.59,225.9,225.9,225.9
12673,2,42,42,610.52,14.536190476190475,305.26,220.9,389.61999999999995
12674,4,83,52,1970.6000000000006,23.742168674698803,492.65,390.06,586.74
12676,6,45,33,1331.3900000000006,29.586444444444457,221.89833333333334,121.55,509.5
12678,12,165,105,17628.460000000003,106.83915151515153,1469.0383333333336,52.199999999999996,8895.760000000004
12679,4,48,43,1113.0200000000002,23.18791666666667,278.25500000000005,94.32000000000001,794.0600000000001
12680,4,52,33,862.81,16.592499999999998,215.70249999999996,112.38000000000001,311.7799999999999
12681,22,638,267,13787.54,21.610564263322885,626.7063636363637,121.92,1238.0599999999997
12682,31,525,209,12288.219999999998,23.40613333333333,396.394193548387,99.6,835.1100000000001
12683,15,344,177,8476.569999999998,24.64119186046511,565.1046666666666,24.900000000000002,1130.9499999999996
12684,7,105,61,2283.6299999999997,21.74885714285714,326.23285714285714,30.0,489.09999999999997
12685,6,157,117,2863.0800000000004,18.236178343949046,477.18,222.60000000000002,1057.18
12686,1,7,7,89.14,12.734285714285715,89.14,89.14,89.14
12688,1,171,171,4873.810000000005,28.501812865497104,4873.810000000005,4873.810000000005,4873.810000000005
12689,2,72,57,1247.61,17.327916666666667,623.8050000000002,511.03000000000014,736.5800000000002
12690,1,16,16,389.00999999999993,24.313124999999996,389.00999999999993,389.00999999999993,389.00999999999993
12691,6,32,21,1035.8,32.36875,172.63333333333333,36.0,303.1
12693,4,39,35,855.9099999999997,21.94641025641025,213.9775,162.05,239.85
12694,2,37,32,869.6699999999998,23.50459459459459,434.8349999999999,430.16999999999996,439.49999999999994
12695,4,27,23,582.1,21.55925925925926,145.525,85.1,244.64999999999998
12697,3,41,37,957.5899999999999,23.355853658536585,319.1966666666667,223.68,390.50000000000006
12700,4,268,193,4939.990000000006,18.43279850746271,1234.9974999999995,1056.62,1476.1899999999998
12701,2,53,50,797.7099999999999,15.051132075471697,398.855,337.08,460.6300000000001
12702,1,12,12,219.0,18.25,219.0,219.0,219.0
12703,1,21,21,283.54999999999995,13.50238095238095,283.54999999999995,283.54999999999995,283.54999999999995
12704,8,88,64,2340.84,26.600454545454546,292.605,69.61,561.28
12705,9,334,228,6868.290000000003,20.56374251497007,763.1433333333332,72.0,1321.2500000000002
12707,1,33,33,603.42,18.285454545454545,603.42,603.42,603.42
12708,10,157,86,2712.9100000000008,17.279681528662426,271.29100000000005,33.0,403.8300000000001
12709,15,208,93,9736.519999999991,46.81019230769227,649.1013333333334,68.0,1225.2599999999995
12710,3,77,75,1149.0200000000007,14.922337662337672,383.00666666666683,71.4,718.9600000000004
12712,13,133,58,4396.129999999999,33.05360902255639,338.1638461538462,146.8,776.05
12713,1,38,38,848.5499999999998,22.330263157894734,848.5499999999998,848.5499999999998,848.5499999999998
12714,5,259,216,4708.859999999994,18.180926640926618,941.7720000000002,513.26,1319.1600000000005
12715,1,21,20,353.85999999999996,16.85047619047619,353.85999999999996,353.85999999999996,353.85999999999996
12716,2,69,60,1053.4899999999996,15.267971014492748,526.7449999999998,375.59,677.8999999999995
12717,2,55,49,1030.98,18.74509090909091,515.49,421.23999999999995,609.74
12718,1,19,19,238.25000000000003,12.539473684210527,238.25000000000003,238.25000000000003,238.25000000000003
12719,2,39,34,644.9499999999999,16.537179487179486,322.475,283.59999999999997,361.35
12720,25,354,211,5781.730000000001,16.332570621468932,231.2692,16.5,498.32000000000005
12721,6,161,133,2656.130000000001,16.497701863354045,442.68833333333333,286.59999999999997,614.32
12722,4,53,50,997.6299999999999,18.823207547169808,249.40749999999997,46.65,580.0799999999999
12723,5,69,53,725.0699999999998,10.508260869565214,145.01399999999998,19.259999999999998,329.12
12724,4,53,47,1031.4099999999999,19.460566037735845,257.8525000000001,125.46000000000001,542.8100000000002
12725,1,24,24,427.79999999999995,17.825,427.79999999999995,427.79999999999995,427.79999999999995
12726,7,124,57,2609.1000000000004,21.041129032258066,372.72857142857146,170.27999999999997,784.46
12727,7,139,109,3980.7000000000003,28.63812949640288,568.6714285714287,38.4,919.6600000000002
12728,4,46,38,836.3299999999999,18.18108695652174,209.08249999999998,164.05,252.53999999999996
12729,1,26,26,453.0100000000001,17.42346153846154,453.0100000000001,453.0100000000001,453.0100000000001
12731,12,274,109,18895.910000000003,68.96317518248176,1574.6591666666666,252.0,3174.4299999999994
12732,1,12,12,236.2600000000001,19.688333333333343,236.2600000000001,236.2600000000001,236.2600000000001
12733,1,22,22,383.95,17.452272727272728,383.95,383.95,383.95
12734,1,4,4,110.39999999999999,27.599999999999998,110.39999999999999,110.39999999999999,110.39999999999999
12735,2,43,38,779.5699999999998,18.129534883720925,389.7849999999999,319.7699999999999,459.7999999999999
12736,1,4,4,234.00000000000003,58.50000000000001,234.00000000000003,234.00000000000003,234.00000000000003
12738,1,11,11,155.35,14.122727272727273,155.35,155.35,155.35
12739,2,38,38,1013.0400000000001,26.658947368421053,506.52000000000004,37.5,975.5400000000001
12740,1,27,27,427.5999999999999,15.837037037037033,427.5999999999999,427.5999999999999,427.5999999999999
12743,2,134,114,546.4299999999997,4.07783582089552,273.215,199.08000000000004,347.3499999999999
12744,7,222,178,21279.289999999994,95.85265765765763,3039.898571428571,999.2600000000002,6068.0599999999995
12750,1,15,15,275.88,18.392,275.88,275.88,275.88
12752,1,53,53,4366.779999999999,82.39207547169809,4366.779999999999,4366.779999999999,4366.779999999999
12753,6,197,132,21429.39,108.77862944162436,3571.565,15.299999999999999,5735.24
12754,3,63,49,3010.74,47.78952380952381,1003.5799999999999,16.05,2949.12
